KEY	ja	zh-TW	ms	fil
meta_title	ベベスワン エタニティ — ひとりでもできるベスト型抱っこ紐	貝貝天鵝 ETERNITY — 一個人也能使用的背心式揹帶	BEBESWAN ETERNITY — gendong bayi bentuk rompi yang mudah digunakan seorang diri	BEBESWAN ETERNITY — baby carrier bentuk vest na madaling gamitin mag-isa
meta_desc	ベスト型で着脱が2ステップ。ブースターシートやチャイルドシート連携まで。ベベスワン エタニティ。	背心式設計，兩步驟穿脫；可變身增高座並搭配汽座。貝貝天鵝 ETERNITY。	RENTASAN rompi: pakai & lepas 2 langkah, tukar ke booster dan kerusi kereta. BEBESWAN ETERNITY.	Vest na carrier: 2 hakbang suot/tanggal, maaaring maging booster at magkasama sa car seat. BEBESWAN ETERNITY.
lang_label	言語を選択	選擇語言	Pilih bahasa	Pumili ng wika
lang_select_aria	言語を選択	選擇語言	Pilih bahasa	Pumili ng wika
float_aside_aria	エタニティを購入	購買 ETERNITY	Beli ETERNITY	Bumili ng ETERNITY
float_buy	購入する	立即購買	Beli	Bumili na
float_img_alt	エターナルベージュ エタニティ	Eternal Beige ETERNITY	Eternal Beige ETERNITY	Eternal Beige ETERNITY
hero_img_alt	ベベスワン エタニティ ランディング画像	貝貝天鵝 ETERNITY 形象圖	Gambar pendaratan BEBESWAN ETERNITY	Larawan ng landing BEBESWAN ETERNITY
hero_subtitle	とてもシンプルだから、<br>ひとりでもすべてできます	因為太簡單，<br>一個人也能全部搞定	Kerana terlalu mudah,<br>anda boleh lakukan semuanya seorang diri	Dahil napakadali,<br>kaya mong gawin lahat mag-isa
s01_title	とてもシンプルだから、ひとりでもすべてできます。	因為太簡單，一個人也能全部搞定。	Kerana terlalu mudah, anda boleh lakukan semuanya seorang diri.	Dahil napakadali, kaya mong gawin lahat mag-isa.
s01_body	誰の手も借りず、すぐに準備完了。直感的なデザインで赤ちゃんに心地よい抱っこを、あなたは<strong>両手を自由に</strong>して皿洗い、洗濯物たたみ、一日を回せます。	無須他人協助，轉眼就緒。直觀設計讓寶寶舒適貼身，您可<strong>雙手自由</strong>洗碗、摺衣、安排一整天。	Tanpa bantuan, siap sekejap. Reka bentuk intuitif memberi pelukan selesa pada bayi; anda <strong>bebas menggunakan tangan</strong> untuk basuh pinggan, lipat kain, urus hari.	Walang tulong, handang agad. Intuitibong disenyo para komportable ang yakap; <strong>malaya ang iyong mga kamay</strong> sa hugas, tiklop, buong araw.
s02_title	着けて外すのは、たった2ステップです。	穿上與取下，只要兩步驟。	Pakai & tanggal hanya 2 langkah.	Suot at tanggal, dalawang hakbang lang.
s02_wear	装着	穿上	Pakai	Suot
s02_w1	ベストを着ます。	穿上背心。	Pakai rompi.	Suotin ang vest.
s02_w2	赤ちゃんを入れてファスナーを上げます。<strong>完了。</strong>	將寶寶放入並拉上拉鍊。<strong>完成。</strong>	Masukkan bayi dan zip ke atas.<strong>Selesai.</strong>	Ilagay ang sanggol at i-zip pataas.<strong>Tapos na.</strong>
s02_remove	外す	取下	Tanggal	Tanggalin
s02_r1	ファスナーを下げます。	拉下拉鍊。	Turunkan zip.	Babaan ang zipper.
s02_r2	赤ちゃんを抱き上げます。<strong>完了。</strong>	抱起寶寶。<strong>完成。</strong>	Angkat bayi.<strong>Selesai.</strong>	Buhatin ang sanggol.<strong>Tapos na.</strong>
s02_note	複雑なバックルもありません。紛らわしいストラップもありません。<br>ただ<strong>かんたんな手軽さ</strong>です。	沒有複雜扣環，也沒有令人困惑的背帶。<br>只有<strong>簡單輕便</strong>。	Tiada gesper rumit, tiada tali memeningkan.<br>Hanya <strong>kemudahan ringkas</strong>.	Walang kumplikadong buckle, walang nakakalitong strap.<br><strong>Simple at mabilis lang.</strong>
s03_title	あなたの食卓は<br>いつでも準備万端。	你的餐桌<br>隨時就緒。	Meja anda <br>sentiasa sedia.	Ang inyong mesa <br>laging handa.
s03_body	カフェ、レストラン、友だちの家でも？ベベスワン エタニティは<strong>普通の椅子をすぐに安全で頑丈なブースターに変身</strong>させます。かさばる機材は家に置いて、旅の心配を減らしましょう。	在咖啡館、餐廳或朋友家？BEBESWAN ETERNITY 能將<strong>一般椅子立刻變成安全穩固的增高座</strong>。把笨重器材留在家，減少旅途煩惱。	Di kafe, restoran atau rumah rakan? BEBESWAN ETERNITY <strong>menukar kerusi biasa kepada booster selamat & kukuh</strong>. Biar peralatan besar di rumah, kurangkan risau perjalanan.	Sa cafe, resto, o bahay ng kaibigan? Ang BEBESWAN ETERNITY ay <strong>ginagawang booster ang ordinaryong upuan</strong>. Iwan ang malaking gamit sa bahay, bawas alala sa biyahe.
s04_title	抱っこのまま<br>運転までワンストップ。	寶寶還在揹帶上，<br>開車也一次搞定。	Dari gendong ke memandu <br>tanpa henti.	Mula suot hanggang drive <br>isang bagsakan lang.
s04_body	キャリアごと脱がせる必要はありません。<strong>赤ちゃんを持ち上げてチャイルドシートに座らせるだけ</strong>。ベストは着たままなので、すぐ出発できます。	不必整件脱下，<strong>只要抱起寶寶坐上汽座</strong>即可。背心仍穿在身上，立刻就能出發。	Tiada perlu tanggal semua. <strong>Angkat bayi ke kerusi kereta sahaja.</strong> Rompi kekal dipakai, terus jalan.	Hindi kailangan tanggalin lahat. <strong>Ilipat ang sanggol sa car seat.</strong> Naka-vest ka pa rin, handa agad.
s05_title	やっと寝かしつけた？<br>もう縛られません。	終於把寶寶哄睡了？<br>您不再被綁住。	Akhirnya tidur?<br>Anda tidak lagi terikat.	Sa wakas natulog?<br>Hindi ka na nakatali.
s05_body	寝たあとトイレ？ウエストベルトを外さずに<strong>ベスト内で赤ちゃんを安全に固定</strong>。起こさず、ほんのひとときの余裕を。	哄睡後想上廁所？無需解開腰帶，<strong>在背心內安全固定寶寶</strong>，降低吵醒風險，給您片刻喘息。	Selepas tidur perlu tandas? <strong>Pegang bayi selamat dalam rompi tanpa buka tali pinggang</strong>, kurangkan risiko bangunkan.	Pagkatapos matulog, CR? <strong>Ligtas na naka-secure ang sanggol sa vest nang hindi tinatanggal ang waist belt</strong> — bawas gising.
s06_title	眠った赤ちゃんを起こさずに移動。<br>できます。	讓睡著的寶寶<br>不醒就能交接。	Pindahkan bayi tidur <br>tanpa bangunkan.	Ilipat ang natutulog na sanggol <br>nang hindi ginigising.
s06_body	デザインが可能にした<strong>究極のペアレンティング連携</strong>。背面ファスナーを下ろし、まだキャリアの中で快適な赤ちゃんをパートナーへ。静かでスムーズに。	設計帶來<strong>理想的親子協力</strong>：打開背面拉鍊，把仍在揹帶中舒適的寶寶交給伴侶——安靜順暢。	<strong>Kolaborasi ibu bapa terbaik</strong>: buka zip belakang, hantar bayi yang masih selesa dalam gendongan kepada pasangan — senyap & lancar.	<strong>Ultimate teamwork</strong>: buksan ang likod na zipper, ilipat ang komportableng sanggol sa kapareha — tahimik at maayos.
s07_title	赤ちゃんのリズムに合わせた授乳。<br>手間いらず。	配合寶寶的節奏餵奶。<br>毫不費力。	Susu mengikut jadwal mereka <br>tanpa ribet.	Pagpapakain ayon sa oras nila <br>walang abala.
s07_body	分解したり個室を探したり不要。<strong>ファスナーを下げるだけで、どこでもすぐ授乳</strong>ができます。	不必拆解或找隱密空間。<strong>只要拉下拉鍊，隨處都能立刻哺乳</strong>。	Tiada perlu buka-buka atau cari bilik. <strong>Turunkan zip, susu di mana-mana serta-merta.</strong>	Walang kailangang baklas o hanap ng pribadong lugar. <strong>Babaan ang zipper, agad na pagpapadede kahit saan.</strong>
s08_title	あなたのスタイルに合う<br>カラーを選びましょう。	選擇符合您風格的<br>顏色。	Pilih warna yang <br>sesuai gaya anda.	Pumili ng kulay na <br>angkop sa estilo mo.
s08_body	ベベスワン エタニティは4色のプレミアムカラーで<br>どんなスタイルにもなじみます。	BEBESWAN ETERNITY 以四種精品色<br>自然融入各種風格。	BEBESWAN ETERNITY dalam 4 warna premium<br>sesuai pelbagai gaya.	Ang BEBESWAN ETERNITY sa 4 premium na kulay<br>bagay sa anumang estilo.
c_desc1	明るく感動的なデザイン	明亮感性的設計	Reka bentuk cerah & berjiwa	Disenyong maliwanag at may damdamin
c_desc2	深みのあるプレミアムトーン	有深度的進階色調	Nada premium berkedalaman	Tono ng premium na may lalim
c_desc3	シックなモダンスタイル	俐落的現代風	Gaya moden chic	Modernong chic na estilo
c_desc4	洗練されたアーバングレー	精緩都市灰	Kelabu bandar anggun	Urban gray na refined
pr_badge1	科学的検証	科學驗證	Pengesahan saintifik	Siyentipikong patunay
pr_badge2	公的認証	官方認證	Pengiktirafan rasmi	Opisyal na sertipikasyon
pr_title	圧力分散で証明された<br>優れた設計	以壓力分散證明的<br>卓越設計	Reka bentuk unggul <br>dibuktikan taburan tekanan	Mahusay na disenyo <br>na napapatunayang pamamahagi ng presyon
pr_sub	公的試験機関による精密な圧力測定で、ベベスワン エタニティ（ベスト型）の優れた荷重分散性能が立証されました。	經公證機構精密壓力測試，已驗證貝貝天鵝 ETERNITY（背心型）優異的荷重分散表現。	Ujian tekanan oleh institusi bertauliah membuktikan taburan beban unggul BEBESWAN ETERNITY (jenis rompi).	Precision pressure testing ng accredited body ay nagpapatunay sa superior na weight distribution ng BEBESWAN ETERNITY (vest type).
pr_table_title	装着時 身体各部位の圧力負担比較	穿著時身體各部位壓力負擔比較	Perbandingan tekanan mengikut bahagian tubuh semasa dipakai	Paghahambing ng pressure sa bahagi ng katawan habang suot
tbl_pos	部位	部位	Bahagian	Bahagi
tbl_h1	H型<br>（一般）	H型<br>（一般）	Jenis H<br>(standard)	H-type<br>(standard)
tbl_h2	H型<br>（ヒップシート）	H型<br>（腰凳型）	Jenis H<br>(hip seat)	H-type<br>(hip seat)
tbl_v5	ベスト型<br>（V5）	背心型<br>（V5）	Jenis rompi<br>(V5)	Vest type<br>(V5)
tbl_et	ベスト型<br>（エタニティ）	背心型<br>（ETERNITY）	Jenis rompi<br>(ETERNITY)	Vest type<br>(ETERNITY)
tbl_back	背面	背面	Belakang	Likod
tbl_front	正面	正面	Hadapan	Harap
tbl_sum	結論	結論	Kesimpulan	Konklusyon
tbl_c1	肩<br>負担大	肩<br>負擔高	Bahu<br>beban tinggi	Balikat<br>mataas na load
tbl_c2	腰・骨盤<br>負担大	腰・骨盆<br>負擔高	Pinggul<br>beban tinggi	Baywang/pelvis<br>mataas na load
tbl_c3	全体<br>良好	整體<br>良好	Keseluruhan<br>baik	Kabuuhan<br>maayos
tbl_c4	全体<br>非常に良好	整體<br>非常良好	Keseluruhan<br>sangat baik	Kabuuhan<br>napakahusay
leg_title	負担強度：	負擔強度：	Keamatan beban:	Lakas ng load:
leg_l	弱	弱	Lemah	Mahina
leg_m	中	中	Sederhana	Katamtaman
leg_h	強	強	Kuat	Malakas
leg_x	最強	最強	Terkuat	Pinakamalakas
why_pr	なぜ圧力分散が重要？	為什麼壓力分散很重要？	Mengapa taburan tekanan penting?	Bakit mahalaga ang pressure distribution?
why1t	赤ちゃんの快適さ	寶寶舒適度	Keselesaan bayi	Kaluwagan ng sanggol
why1d	低い圧力は赤ちゃんの身体への負担を減らします。	較低的壓力減少對寶寶身體的負擔。	Tekanan rendah kurangkan beban pada tubuh bayi.	Mababang presyon, mas kaunting bigat sa katawan ng sanggol.
why2t	保護者の肩への負担軽減	減輕照護者肩部負擔	Kurangkan beban bahu penjaga	Gaangin ang bigat sa balikat ng magulang
why2d	均等な分散で負担を最小化。	均勻分散可將負擔降到最低。	Taburan sekata meminimumkan beban.	Pantay na pamamahagi, pinakamababang bigat.
why3t	長時間の使用も	長時間使用也舒適	Penggunaan lama turut selesa	Mainam din sa matagalang paggamit
why3d	圧力が低いほど疲れにくい。	壓力越低越不容易累。	Tekanan rendah, kurang letih.	Kapag mas mababa ang presyon, mas kaunting pagod.
why4t	科学的検証	科學驗證	Pengesahan saintifik	Siyentipikong beripikasyon
why4d	公的機関の精密測定で実証。	經公認機構精密量測實證。	Dibuktikan ukuran tepat badan bertauliah.	Napatunayang precision measurement ng accredited body.
cert_title	特許と認証	專利與認證	Paten & pensijilan	Paten at sertipikasyon
cert_sub	世界が認めたベベスワンの技術力と安全性	全球認可貝貝天鵝的技術實力與安全性。	Dunia mengiktiraf teknologi & keselamatan BEBESWAN.	Kinikilala ng mundo ang teknolohiya at kaligtasan ng BEBESWAN.
aw_title	受賞歴	得獎紀錄	Anugerah	Gantimpala
aw1t	女性発明品博覧会 金賞	女性發明品博覽會 金獎	Emas Ekspo Penemu Wanita	Gold sa Women Inventors Expo
aw1e	女性発明博覧会で金賞受賞	榮獲女性發明博覽會金獎	Menerima emas di Ekspo Penemu Wanita	Gold Prize at the Women Inventors Expo
aw2t	女性家族部長官賞	女性家族部部長獎	Anugerah Menteri Kesetaraan Gender & Keluarga	Minister of Gender Equality and Family Award
aw2e	女性家族部長官賞受賞	女性家族部部長獎	Menerima anugerah menteri	Minister award recipient
pat_title	特許登録	專利登記	Pendaftaran paten	Pagpaparehistro ng patente
